Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turkmenistan,TKM,35.6754642894197,24.7336007327164
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Turks and Caicos Islands,TCA,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Tuvalu,TUV,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uganda,UGA,12.8773253147369,17.1090580167383
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ukraine,UKR,52.5976795082231,41.2316912560049
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Arab Emirates,ARE,96.8278056324385,96.8595999294072
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United Kingdom,GBR,27.845950666101,31.63478028095
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,United States,USA,12.4111486301271,11.7891974097286
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uruguay,URY,22.4778512515741,27.9053695836796
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Uzbekistan,UZB,13.7735112287545,25.3501332976894
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Vanuatu,VUT,44.2873016256431,50.3452768729642
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Venezuela, RB",VEN,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Viet Nam,VNM,72.9228518369495,85.1575874073411
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Virgin Islands (U.S.),VIR,41.6325416325416,54.9623877699587
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,West Bank and Gaza,PSE,16.0623801208096,15.5210552426533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Yemen, Rep.",YEM,9.05157754575297,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zambia,ZMB,37.1385258014734,34.6361926031881
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Zimbabwe,ZWE,19.160627339066,27.5541700868299
